文本,标记
"### 三务场

南宋行在榷货务都茶场、建康府榷货务都茶场、镇江府榷货务都茶场总称",1
"### 榷货三务 

见“三务场”",1
"### 提领三榷货务都茶场所 

官署名",1
"### 提辖榷货务兼都茶场

官名",2
"### 提辖榷货务都茶场司

官署名",1
"### 监榷货务都茶场 

官名",2
"### 提领榷货务都茶场所干办公事

职事官名",2
"### 在京榷货务

官署名",1
"### 榷货务 

监当局名",1
"### 山场 

监当局名",1
"### 买钞所 

监当局名",1
"### 博买都茶场 

监当局名",1
"### 茶场司 

监当局名",2
"### 行在会子务

监当局名",2
"### 会子库 

会子务附属库",1
"### 左藏封桩库 

监当局名",1
"### 提领左藏封桩库 

兼官名",2
"### 提领左藏封桩库所 

官署名",1
"### 监左藏封桩库 

职事官名",2
"### 监左藏封桩门 

职事官门",2
"### 左藏封桩库副知

吏名",2
"### 左藏封桩库手分

吏人名",2
"### 左藏封桩库书手

吏名",2
"### 左藏封桩库库子

吏名",2
"### 尚书省讲议司

临时官署名",2
"### 提举尚书省讲议司

职事官名",2
"### 讲议司详定官 

职事官名",2
"### 讲议司参详官 

职事官名",2
"### 讲议司检讨文字

职事官名",2
"### 讲议司宗室检讨文字 

职事官名",2
"### 讲议司冗官检讨文字 

职事官名",2
"### 讲议司国用检讨文字 

职事官名",2
"### 讲议司赋调检讨文字 

职事官名",2
"### 讲议司商旅检讨文字 

职事官名",2
"### 讲议司盐泽检讨文字 

职事官名",2
"### 讲议司尹牧检讨文字 

职事官名",2
"### 尚书省讲议司检阅文字 

职事官名",2
"### 尚书省讲议财利司 

临时官署名",2
"### 提举尚书省讲议财利司 

职事官名",2
"### 尚书省详议司 

临时官署名",2
"### 议礼局

临时修礼书官署",1
"### 礼制局 

临时官署",1
"### 尚书省六部

尚书省吏部、户部、礼部、兵部、刑部、工部总称",1
"### 六部尚书

尚书省吏部尚书、户部尚书、礼部尚书、兵部尚书、刑部尚书、工部尚书总称",2
"### 五曹尚书 

户、礼、兵、刑、工部五部尚书总称",2
"### 权六部尚书 

权吏部尚书、权户部尚书、权礼部尚书、权兵部尚书、权刑部尚书、权工部尚书之总称",2
"### 六部侍郎 

尚书省吏部侍郎、户部侍郎、礼部侍郎、兵部侍郎、刑部侍郎、工部侍郎之总称",2
"### 权六部侍郎 

尚书省权吏部侍郎、权户部侍郎、权礼部侍郎、权兵部侍郎、权刑部侍郎、权工部侍郎总称",2
"### 六部长贰

六部尚书与侍郎总名",2
"### 尚书二十四司 

尚书省六部所属二十四司总称",1
"### 尚书省二十四司郎中 

尚书省六部所属二十四司郎中总称",2
"### 尚书省二十四司员外郎

尚书省六部所属二十四司员外郎总称",2
"### 尚书省六部诸司郎中、员外郎

尚书省六部二十四司置郎中、员外郎",2
"### 监尚书省六部门

差遣官名",2
"### 管勾尚书六部架阁库 

差遣官名",2
"### 主管尚书某部架阁文字

南宋时档案库官名",2
"### 尚书省吏部 

官司名",2
"### 判吏部事 

差遣官名",2
"### 吏部尚书 

阶官名、职事官名",2
"### 权吏部尚书 

职事官名",2
"### 吏部尚书左选 

官署名",2
"### 吏部尚书左选六品案 

吏部尚书左选常设办事部门之一",1
"### 吏部尚书左选七品案 

吏部尚书左选常设办事部门之一",1
"### 吏部尚书左选八品案 

吏部尚书左选常设办事部门之一",1
"### 吏部尚书左选九品案 

吏部尚书左选常设办事部门之一",1
"### 吏部尚书左选注拟案 

吏部尚书左选常设办事部门之一",2
"### 吏部尚书左选名籍案 

吏部尚书左选常设办事部门之一",2
"### 吏部尚书左选掌阙案 

吏部尚书左选常设办事部门之一",2
"### 吏部尚书左选催驱案 

吏部尚书左选常设办事部门之一",2
"### 吏部尚书左选甲库案 

吏部尚书左选常设办事部门之一",2
"### 吏部尚书左选检法案 

吏部尚书左选常设办事部门之一",1
"### 吏部尚书右选 

官署名",2
"### 吏部尚书右选大夫案 

吏部尚书右选常设办事部门之一",1
"### 吏部尚书右选副使案 

吏部尚书右选常设办事部门之一",1
"### 吏部尚书右选敦修武案 

吏部尚书右选常设办事部门之一",1
"### 吏部尚书右选注拟掌阙案 

吏部尚书右选常设办事部门之一",1
"### 吏部尚书右选奏荐赏功案 

吏部尚书右选常设办事部门之一",1
"### 吏部尚书右选开拆案 

吏部尚书右选

## /page{216R}

常设办事部门之一",2
"### 吏部尚书右选名籍案 

吏部尚书右选常设办事部门之一",1
"### 吏部尚书右选甲库案 

吏部尚书右选常设办事部门之一",1
"### 吏部尚书右选法司案 

吏部尚书右选常设办事部门之一",1
"### 吏部尚书右选知杂案 

吏部尚书右选常设办事部门之一",1
"### 吏部侍郎 

官阶名、职事官名",2
"### 权吏部侍郎 

职事官名",2
"### 吏部侍郎左选 

官署名",2
"### 吏部左选侍郎 

职事官名",2
"### 吏部侍郎左选令丞案 

吏部侍郎左选常设办事部门之一",2
"### 吏部侍郎左选职官案 

吏部侍郎左选常设办事部门之一",2
"### 吏部侍郎左选入官案 

吏部侍郎左选常设办事部门之一",2
"### 吏部侍郎左选县尉案 

吏部侍郎左选常设办事部门之一",2
"### 吏部侍郎左选格式案 

吏部侍郎左选常设办事部门之一",2
"### 吏部侍郎左选主簿上案、下案 

吏

## /page{218L}

部侍郎常设办事部门之一",2
"### 吏部侍郎左选开拆案 

吏部侍郎左选常设办事部门之一",2
"### 吏部侍郎左选名籍案 

吏部侍郎左选常设办事部门之一",2
"### 吏部侍郎左选甲库案 

吏部侍郎左选常设办事部门之一",2
"### 吏部侍郎左选知阙案 

吏部侍郎左选常设办事部门之一",2
"### 吏部侍郎左选注拟案 

吏部侍郎左选常设办事部门之一",2
"### 吏部侍郎左选知杂案 

吏部侍郎左选常设办事部门之一",2
"### 吏部侍郎左选法司案 

吏部侍郎左选常设办事部门之一",2
"### 吏部侍郎右选 

官署名",2
"### 吏部右选侍郎 

职事官名",2
"### 吏部侍郎右选从义案 

吏部侍郎右选常设办事部门之一",2
"### 吏部侍郎右选忠训案 

吏部侍郎右选常设办事部门之一",1
"### 吏部侍郎右选成忠案 

吏部侍郎右选常设办事部门之一",2
"### 吏部侍郎右选承节案 

吏部侍郎右选常设办事部门之一",2
"### 吏部侍郎右选承信案 

吏部侍郎右选常设办事部门之一",2
"### 吏部侍郎右选进武案 

吏部侍郎右选常设办事部门之一",2
"### 吏部侍郎右选差注案 

吏部侍郎右选常设办事部门之一",2
"### 吏部侍郎右选生事上案、下案 

吏部侍郎右选常设办事部门之一",2
"### 吏部侍郎右选掌阙案 

吏部侍郎右选常设办事部门之一",2
"### 吏部侍郎右选资次案 

吏部侍郎右选常设办事部门之一",2
"### 吏部侍郎右选知杂案 

吏部侍郎右选常设办事部门之一",2
"### 吏部侍郎右选催驱案 

吏部侍郎右选常设办事部门之一",2
"### 吏部侍郎右选甲库案 

吏部侍郎右选常设办事部门之一",2
"### 吏部侍郎右选法司案 

吏部侍郎右选常设办事部门之一",2
"### 吏部侍郎右选架阁案 

吏部侍郎右选

## /page{219R}

档案管理部门",2
"### 吏部四选 

北宋神宗元丰改制后",2
"### 吏部司 

官司名",2
"### 吏部司郎中 

阶官名、职事官名",2
"### 吏部司员外郎 

官阶名、职事官名",2
"### 司封司 

官司名",2
"### 判司封司事 

宋前期差遣官名",2
"### 司封司郎中 

官阶名、职事官名",2
"### 司封司员外郎 

官阶名、职事官名",2
"### 司勋司 

官司名",2
"### 判司勋司事 

宋前期差遣官名",2
"### 司勋司郎中 

官阶名、职事官名",2
"### 司勋司员外郎 

官阶名、职事官名",2
"### 考功司 

官司名",2
"### 判考功司事 

宋前期差遣官名",2
"### 考功司郎中 

官阶名、职事官名",2
"### 考功司员外郎 

官阶名、职事官名",2
"### 考功司十七案 

元丰新制",2
"### 主管尚书省吏部架阁文字 

职事官名",2
"### 尚书省制造官告局 

官署名",1
"### 主管尚书省制造官告局 

差遣官名",1
"### 尚书省官告院 

尚书省制造官告局改名",1
"### 官告院 

官署名",1
"### 官告院绫纸库 

官告院附属机构名",1
"### 主管官告院 

差遣官员",2
"### 尚书省户部

官司名",2
"### 判尚书省户部事

#### 职源

判户部事之名",2
"### 户部尚书

宋前期阶官名",2
"### 权户部尚书 

职事官名",2
"### 户部侍郎

阶官名、职事官名",2
"### 户部左曹侍郎 

户部侍郎分工称",2
"### 户部右曹侍郎 

户部侍郎分工称",2
"### 权户部侍郎 

职事官名",2
"### 户部五司 

职官总名",2
"### 户部司 

官司名",2
"### 户部司郎中 

官阶名、职事官名",2
"### 户部司员外郎 

官阶名、职事官名",2
"### 户部左曹 

户部五司之一",2
"### 户部左曹户口案 

户部左曹常设办事机构之一",1
"### 户部左曹税赋案 

户部左曹常设办事机构之一",1
"### 户部左曹农田案 

户部左曹常设办事机构之一",1
"### 户部左曹检法案

户部左曹常设办事机构之一",1
"### 户部左曹知杂案 

户部左曹常设办事机构之一",1
"### 户部左曹二税窠

南宋税赋案分出的机构之一",1
"### 户部左曹房地窠

南宋赋税案分出的机构之一",1
"### 户部左曹课利窠 

南宋赋税案分出机构之一",1
"### 户部右曹 

户部五司之一",2
"### 户部右曹常平案 

户部右曹常设办事机构之一",1
"### 户部右曹免役案 

户部右曹常设办事机构之一",1
"### 户部右曹坊场案 

户部右曹常设办事机构之一",1
"### 户部右曹平准案

户部右曹常设办事机构之一",1
"### 户部右曹检法案

户部右曹常设办事机构之一",1
"### 户部右曹知杂案 

户部右曹常设办事机构之一",1
"### 户部左曹郎中、员外郎

元丰改制后户部郎中、员外郎分工称",2
"### 户部右曹郎中、员外郎

元丰改制后户部郎中员外郎分工称",2
"### 度支司 

官司名",2
"### 度支司度支案 

掌计划年度军国财用经费及年终会计诸路收支之数（《宋会要•食货》51之43《度支库》）",2
"### 度支司发运案 

掌诸路上供财物总额、封桩总数、科买期限、漕运计程、付给运费等事（《宋会要•食货》51之42《度支库》）",2
"### 度支司支供案 

掌文武官吏俸禄支给、供奉内廷钱物、驿务等事（《宋会要•食货》51之42《度支库》）",2
"### 度支司赏赐案 

掌赏赐、支赐、特支衣物、钱帛",2
"### 度支司知杂案

掌本司具体行政、生活事

## /page{230R}

务的办理（《宋会要•食货》51之43《度支库》）",2
"### 判度支司事 

宋前期差遣官名",2
"### 度支司郎中 

官阶名、职事官名",2
"### 度支司员外郎 

官阶名、职事官名",2
"### 金部司

官司名",2
"### 金部司左藏案 

户部金部司常设办事机构之一",1
"### 金部司右藏案 

户部金部司常设办事机构之一",1
"### 金部司钱帛案 

户部金部司常设办事机构之一",1
"### 金部司请给案 

户部金部司常设办事机构之一",1
"### 金部司榷易案

户部金部司常设办事机构之一",1
"### 金部司知杂案 

户部金部司常设办事机构之一",1
"### 判金部司事

宋前期差遣官名",2
"### 金部司郎中 

官阶名、职事官名",2
"### 金部司员外郎 

官阶名、职事官名",2
"### 仓部司 

官司名",2
"### 判仓部司事 

差遣官",2
"### 仓部司仓场案 

户部仓部司常设办事机构之一",1
"### 仓部司上供案 

户部仓部司常设办事机构之一",1
"### 仓部司粜籴案

户部仓部司常设办事机构之一",1
"### 仓部司给纳案

户部仓部司常设办事机构之一",1
"### 仓部司开拆案 

户部仓部司常设办事机构之一",1
"### 仓部司勾覆案 

户部仓部司临时办事机构",1
"### 仓部司知杂案 

户部仓部司常设办事机构之一",1
"### 仓部司郎中 

阶官名、职事官名",2
"### 仓部司员外郎 

阶官名、职事官名",2
"### 主管尚书省户部架阁文字

职事官名",2
"### 尚书省礼部

官司名",2
"### 判礼部事 

差遣官名",2
"### 礼部尚书 

官阶名、职事官名",2
"### 权礼部尚书 

职事官名",2
"### 礼部侍郎

官阶名、职事官名",2
"### 权礼部侍郎 

职事官名",2
"### 礼部奉使帐案

官司名",2
"### 礼部封册案 

官司名",1
"### 礼部表奏案

官司名",2
"### 礼部宝印案 

官司名",2
"### 礼部检法案 

官司名",2
"### 礼部礼乐案

官司名",2
"### 礼部贡举案 

官司名",2
"### 礼部宗正案 

官司名",2
"### 礼部知杂案 

官司名",2
"### 礼部开拆案

官司名",2
"### 礼部司 

官司名",2
"### 礼部郎中 

官阶名、职事官名",2
"### 礼部员外郎 

官阶名、职事官名",2
"### 祠部司 

官司名",2
"### 判祠部司事

差遣官名",2
"### 祠部司郎中 

官阶名、职事官名",2
"### 祠部司员外郎 

官阶名、职事官名",2
"### 祠部司道释案 

祠部司常设办事机构",1
"### 详定祠祭、太医帐案 

祠部常设办事机构",1
"### 制造案

祠部办事部门",1
"### 知杂司 

祠部司办事部门",1
"### 开拆司 

祠部司办事部门",1
"### 度牒库 

监当局名",1
"### 监度牒库 

监当官名",2
"### 提领度牒所 

官司名",2
"### 提举京城所 

官司名",2
"### 主客司

官司名",2
"### 主客司郎中 

官阶名、职事官",2
"### 主客司员外郎

官阶名、职事官名",2
"### 知杂封袭朝贡案

主客司常设办事部门",1
"### 膳部司

官司名",2
"### 膳部司郎中 

官阶名、职事官名",2
"### 膳部司员外郎 

官阶名、职事官名",2
"### 祠祭生料知杂案

膳部司常设办事机构",1
"### 宴设馆客供进给赐案 

膳部司常设办事部门之一",1
"### 礼部贡院 

官司名",2
"### 知礼部贡举事 

差遣名",2
"### 尚书省兵部 

官司名",2
"### 判尚书省兵部事 

宋前期差遣官名",2
"### 同判尚书省兵部事 

差遣官名",2
"### 兵部勾当公事 

熙丰变法期间差遣官名",2
"### 兵部主簿

熙丰变法期间差遣官名",2
"### 兵部甲库

宋前期官司名",2
"### 兵部尚书 

阶官名、职事官名",2
"### 权兵部尚书 

职事官名",2
"### 兵部侍郎 

阶官名、职事官名",2
"### 权兵部侍郎 

职事官名",2
"### 兵部赏功案 

元丰改制后",1
"### 兵部民兵仗卫案 

兵部常设办事机构之一",1
"### 兵部厢兵案 

兵部常设办事机构之一",1
"### 兵部人从看详案 

兵部常设办事机构之一",1
"### 兵部帐籍告身案 

兵部常设办事机构之一",1
"### 兵部武举案 

兵部常设办事机构之一",1
"### 兵部蕃官案 

兵部常设办事机构",1
"### 兵部检法案 

兵部常设办事机构",1
"### 兵部开拆案 

兵部常设办事机构",1
"### 兵部知杂案 

兵部常设事务机构",2
"### 兵部四司 

尚书省兵部所属兵部司、职方司、驾部司、库部司的合称",1
"### 兵部司 

尚书省兵部所属四司之一",1
"### 兵部司郎中 

阶官名、职事官名",2
"### 兵部司员外郎 

阶官名、职事官名",2
"### 职方司 

尚书省兵部所属四司之一",1
"### 判职方司事 

宋前期差遣官名",2
"### 职方司郎中 

阶官名、职事官名",2
"### 职方司员外郎 

阶官名、职事官名",2
"### 驾部司 

尚书省兵部四司之一",2
"### 判驾部司事 

宋前期差遣官名",2
"### 驾部司郎中 

阶官名、职事官名",2
"### 驾部司员外郎 

阶官名、职事官名",2
"### 库部司 

尚书省兵部所属四司之一",2
"### 判库部司事 

宋前期差遣官名",2
"### 库部司郎中 

阶官名、职事官名",2
"### 库部司员外郎 

阶官名、职事官名",2
"### 主管尚书省礼、兵部架阁文字

职事官名",2
"### 尚书省刑部

官司名",2
"### 刑部八案 

元丰新制",2
"### 刑部十三案

南宋初连年战祸与兵荒",2
"### 刑部制勘案 

①元丰刑部八案之一",2
"### 刑部体量案

①元丰刑部八案之二",2
"### 刑部制勘体量案

元祐四年（1089）",2
"### 刑部详覆案 

①元丰刑部八案之三",2
"### 刑部注籍点检案 

元丰刑部八案之四",2
"### 刑部举叙案 

①元丰刑部八案之五",2
"### 刑部进拟案 

①元丰新制刑部八案之六",2
"### 刑部随时拨却行案 

元丰新制刑部八案之七",2
"### 刑部随时拨却不行案 

元丰刑部八案之第八案",2
"### 刑部定夺案 

绍兴后刑部十三案之六",2
"### 刑部纠察案 

绍兴后刑部十三案之七",2
"### 刑部检法案 

绍兴后刑部十三案之八",2
"### 刑部颁降案 

南宋绍兴后刑部十三案之九",2
"### 刑部追毁案

南宋绍兴后刑部十三案之十",2
"### 刑部会问案 

南宋绍兴后刑部十三案之十一",2
"### 刑部捕盗案 

南宋绍兴后刑部十三案之十二",2
"### 刑部帐籍案

南宋绍兴后刑部十三案之十三",2
"### 刑部尚书 

阶官名、职事官名",2
"### 权刑部尚书 

元祐初始置的职事官名",2
"### 刑部侍郎 

阶官名、职事官名",2
"### 权刑部侍郎 

职事官名",2
"### 刑部司 

官司名",2
"### 刑部司郎中 

阶官名、职事官名",2
"### 刑部司员外郎 

阶官名、职事官名",2
"### 都官司 

官司名",2
"### 都官司郎中 

阶官名、职事官名",2
"### 都官司员外郎 

阶官名、职事官名",2
"### 比部司 

官司名",2
"### 比部司勾覆案 

元丰新制后比部司五案之一",2
"### 比部司磨勘案 

元丰新制后比部司五案之一",2
"### 比部司凭由案 

元丰新制后比部司五案之一",1
"### 比部司理欠案 

元丰新制后比部司五案之一",2
"### 比部司知杂案 

元丰改制后比部司五案之一",2
"### 比部司郎中 

阶官名、职事官名",2
"### 比部司员外郎 

阶官名、职事官名",2
"### 司门司 

官司名",2
"### 司门司郎中 

阶官名、职事官名",2
"### 司门司员外郎 

阶官名、职事官名",2
"### 尚书省工部

官司名",1
"### 工部工作案 

元丰新制尚书省工部六案之一",2
"### 工部营造案 

尚书省工部六案之一",2
"### 工部材料案 

尚书省工部六案之一",2
"### 工部兵匠案 

尚书省工部六案之一",2
"### 工部检法案 

尚书省工部六案之一",2
"### 工部知杂案 

尚书省工部六案之一",2
"### 判尚书省工部事 

宋前期差遣官名",2
"### 工部尚书 

阶官名、职事官名",2
"### 权工部尚书 

职事官名",2
"### 工部侍郎 

阶官名、职事官名",2
"### 权工部侍郎 

职事官名",2
"### 工部司 

官司名",2
"### 工部司郎中 

阶官名、职事官名",2
"### 工部司员外郎 

阶官名、职事官名",2
"### 屯田司 

尚书省工部四司之一",1
"### 屯田司郎中 

阶官名、职事官名",2
"### 屯田司员外郎 

阶官名、职事官名",2
"### 虞部司 

尚书省工部四司之一",2
"### 虞部司郎中 

阶官名、职事官名",2
"### 虞部司员外郎 

阶官名、职事官名",2
"### 水部司 

官司名",2
"### 水部司郎中 

阶官名、职事官名",2
"### 水部司员外郎 

阶官名、职事官名",2
"### 主管尚书省工部、刑部架阁文字 

职事官名",2
"### 制造御前军器所 

官署名",1
"### 军器所行移内案 

军器所三案之一",1
"### 军器所军器案 

军器所三案之一",1
"### 军器所事务案 

军器所三案之一",1
"### 干办司手分 

吏人",2
"### 监造下人吏 

吏人",2
"### 监门下人吏 

吏人",2
"### 造帐司 

吏人名",2
"### 复算司 

吏人名",2
"### 库经司 

吏人名",2
"### 万全作坊 

官办兵工场",1
"### 制造御前军器局 

官署名",1
"### 秘书省

官署名（《宋会要•职官》18之1《秘书省》）",1
"### 秘书省监

宋前期阶官名",2
"### 判秘书省事 

差遣名",2
"### 提举秘书省

差遣官",2
"### 提纲史事

差遣名",2
"### 秘书省少监

宋前期为寄禄官名",2
"### 秘书监少

秘书省监、秘书省少监连称",2
"### 秘书丞 

宋前期阶官名",2
"### 秘书少丞 

秘书省少监、秘书省丞连称",2
"### 著作郎

宋初阶官名",2
"### 秘书郎 

宋初寄禄官名",2
"### 著作佐郎 

宋初寄禄官名",2
"### 著作郎佐 

著作郎、著作佐郎合称",2
"### 秘书丞郎 

秘书省丞与秘书郎或合称丞郎",2
"### 著作局

秘书省公廨之一",1
"### 校书郎 

宋初寄禄官名",2
"### 石渠郎 

石渠阁为西汉藏书之所",1
"### 正字 

宋初寄禄官名",2
"### 校正 

秘书省校书郎、秘书省正字连称",2
"### 馆职 

元丰改制后",2
"### 秘阁校勘 

职事官名",2
"### 秘书省校对黄本书籍

差遣",1
"### 秘书省读书 

特置官",2
"### 秘书省检阅文字 

资浅者入省供职",2
"### 秘书省都监司 

官司名",2
"### 秘书省都监 

差遣名",2
"### 秘书省承受官 

差遣名",2
"### 秘书省国史案 

元丰新制所设案名",1
"### 秘书省日历案

绍圣二年三月二十四日",2
"### 秘书省知杂案 

本省常设办事机构",1
"### 秘书省经籍案 

本省常设办事机构",1
"### 秘书省祝版案 

南宋时秘书省案名之一",2
"### 秘书省太史案 

本省常设办事机构之一",1
"### 秘书省道教案 

徽宗政和六年二月八日",2
"### 经、史、子、集四库 

秘书省书库",1
"### 续搜访经、史、子、集四库 

秘书省书库",1
"### 秘阁上、下库 

秘书省秘阁书库",1
"### 御制御札名贤墨迹图画库 

秘书省书库",1
"### 古器库

秘书省库",1
"### 印板书库 

秘书省库",1
"### 印板库 

秘书省库",1
"### 碑石库 

秘书省库",1
"### 公使库 

秘书省库",2
"### 国史库 

秘书省库",1
"### 秘书省八品吏 

秘书省号称“三馆之地”",2
"### 都孔目官 

吏名",2
"### 孔目官

吏名",2
"### 四库书直官 

吏名",2
"### 书直官

吏名",2
"### 表奏官 

吏名",2
"### 书库官 

吏名",2
"### 守当官 

吏名",2
"### 正名楷书 

吏名",2
"### 守阙楷书 

吏名",2
"### 正系名楷书 

吏名",2
"### 守阙系名楷书 

吏名",2
"### 投名人 

吏名",2
"### 专知官 

吏名",2
"### 通引官 

吏名",2
"### 库子 

胥吏名",2
"### 秘书省仪鸾司 

省舍名",2
"### 仪鸾司吏 

公吏名",2
"### 秘书省翰林司

省舍名",1
"### 翰林司吏 

公吏名",2
"### 御厨工匠 

匠人名",2
"### 秘书省抬盘司 

省舍名",2
"### 抬盘子厨子 

公吏名",2
"### 潜火司

省舍名",2
"### 潜火军兵 

救火士兵",2
"### 补写所 

公廨名",1
"### 补写所杂务 

公吏名",2
"### 守门亲事官 

公吏名",2
"### 厅从 

公吏名",2
"### 厅子 

官厅吏人名",2
"### 衣粮亲事官 

公吏名",2
"### 承送 

公吏名",2
"### 司天台 

官司名",2
"### 判司天台事 

差遣名",2
"### 司天台主簿

职事官名",2
"### 司天台学生 

吏名",2
"### 司天监

官司名",2
"### 司天监监 

技术官名",2
"### 判司天监事

差遣官",2
"### 同判司天监事

差遣名",2
"### 权判司天监事 

差遣名",2
"### 知司天监事

差遣名",2
"### 提举司天监公事

差遣名",2
"### 同提举司天监公事

差遣名",2
"### 提举司天监公事所 

官署名",1
"### 司天监少监

技术官",2
"### 权知司天监少监事 

差遣名",2
"### 司天监丞 

技术官名",2
"### 司天监主簿

技术官名",2
"### 司天监五官正 

司天监春官正、夏官正、中官正、秋官正、冬官正的合称",2
"### 司天监春官正 

技术官名",2
"### 司天监夏官正 

技术官名",2
"### 司天监中官正 

技术官名",2
"### 司天监秋官正 

技术官名",2
"### 司天监冬官正 

技术官名",2
"### 司天监灵台郎 

技术官名",2
"### 司天监保章正

技术官名",2
"### 司天监挈壶正 

技术官名",2
"### 司天监官 

司天监自判监以下至挈壶正等差遣、技术官",2
"### 司天监礼生 

吏人名",2
"### 司天监历生 

吏人名",2
"### 司天监监生 

吏人名",2
"### 司天监学生 

在司天监分科习学天文、历算、三式等专业的人",2
"### 司天监历算科

窠名",1
"### 司天监历算科令

差遣名",2
"### 司天监历算科丞

差遣名",2
"### 司天监历算科主簿 

差遣名",2
"### 司天监历算 

技术官",2
"### 司天监天文科 

窠名",1
"### 司天监天文科令

差遣名",2
"### 司天监天文科丞 

差遣名",2
"### 司天监天文科主簿 

差遣名",2
"### 司天监天文官 

技术官",2
"### 司天监三式科 

窠名",2
"### 司天监三式科令

差遣名",2
"### 司天监三式科丞

差遣名",2
"### 司天监三式科主簿 

差遣名",2
"### 司天监三式科六壬 

技术官名",2
"### 司天监三式科太乙 

技术官",2
"### 司天监三式科遁甲 

技术官",2
"### 监造历

差遣名",2
"### 知算造

差遣名",2
"### 司天监天文院 

官署名",1
"### 测验记注 

技术官名",2
"### 刻择官 

技术人",2
"### 押更 

吏人",2
"### 测验浑仪刻漏所

官司名",1
"### 浑仪丞

技术官",2
"### 钟鼓院 

职局名",1
"### 直官

吏人",2
"### 鸡唱

吏人",2
"### 太史局 

官司名",1
"### 提举太史局所 

官署名",1
"### 提举太史局

差遣名",2
"### 判太史局 

差遣官名",2
"### 同判太史局 

差遣官名",1
"### 判局官

判太史局、同判太史局合称",2
"### 太史局令 

技术官名",2
"### 太史局正 

技术官名",2
"### 太史局丞 

技术官名",2
"### 太史局五官正 

太史局春官正、夏官正、中官正、秋官正、冬官正总称",1
"### 太史局春官正 

技术官名",2
"### 太史局夏官正 

技术官名",2
"### 太史局中官正 

技术官名",2
"### 太史局秋官正 

技术官名",2
"### 太史局冬官正 

技术官名",1
"### 太史局直长 

技术官名",2
"### 太史局灵台郎 

技术官名",2
"### 太史局保章正 

技术官名",2
"### 太史局挈壶正 

技术官名",2
"### 太史局五官大夫 

阶官名",2
"### 春官大夫 

太史局阶官名",2
"### 夏官大夫 

太史局阶官名",2
"### 中官大夫 

太史局阶官名",2
"### 秋官大夫 

太史局阶官名",2
"### 冬官大夫 

太史局阶官名",2
"### 太史局同知算造 

差遣官名",2
"### 太史局主管御书神位官

差遣官",2
"### 太史局天文科 

官署名",1
"### 太史局天文官 

差遣官名",2
"### 太史局历算科

官署名",1
"### 太史局历算

差遣名",1
"### 太史局三式科

官署名",1
"### 太史局三科 

太史局天文、历算、三式科总称",1
"### 太史局天文院

官司名",1
"### 酉点天文日状官

差遣名",2
"### 测验浑仪刻漏所

官局名",1
"### 主管测验浑仪刻漏所

差遣名",1
"### 主管影表官 

差遣名",2
"### 秤漏官 

差遣名",2
"### 文德殿钟鼓院 

官局名",1
"### 主管文德殿钟鼓院 

差遣名",2
"### 星漏官

差遣名",2
"### 印历所 

监当局名",1
"### 司历 

历官名",2
"### 局生 

官名、阶名",2
"### 礼历生 

太史局礼生、历生连称",2
"### 历生 

吏名",2
"### 礼生 

吏名",2
"### 学生 

吏名",2
"### 司辰 

武吏名",2
"### 四院司辰 

太史局、天文院、钟鼓院、测验浑仪刻漏所四院司辰总名",1
"### 太史局官生学生 

太史局官、局生、礼生、历生以及学生之总名（《宋会要•职官》18之96）",1
"### 太史局额内局学生

太史局编制内局生、学生的连称",1
"### 太史局额外祠祭局学生

太史局编制外专供祠祭行事的局生、学生的连称",1
"### 太史局额内外局生

太史局编制内、编制外局生的总称",1
"### 天文院司辰额内瞻望局学生

天文院所属司辰、额内瞻望局生、额内瞻望学生的连称（《宋会要•职官》18之100）",2
"### 浑仪所司辰额内瞻望局学生

测验浑仪刻漏所司辰、额内瞻望局生与额内瞻望学生的连称（《宋会要•职官》18之100）",2
"### 钟鼓院司辰局学生

文德殿钟鼓院司辰、局生、学生的连称（《宋会要•职官》18之100）",2
"### 造历局 

宋代造新历",1
"### 提领造历官 

差遣名",2
"### 参定造历官 

差遣名",2
"### 演撰官

差遣官",2
"### 提督推算 

差遣官",2
"### 推算官 

差遣官",2
"### 推算学生

差遣名",2
"### 草泽应聘造历人

宋代每开局造历",2
"### 向上人吏 

吏名",2
"### 楷书 

吏名",2
"### 太史官 

司天监、太史局官通称",2
"### 算学 

书局名",1
"### 算学生 

在算学习天文、历算、三式、法算四科之人",2
"### 国史院

修正史机构名",1
"### 修史院 

修史机构名",1
"### 编修院 

修史机构名",1
"### 史馆 

修史机构名",1
"### 国史案 

修史机构名",1
"### 提举修国史 

兼官名",2
"### 提领修国史 

避讳称",2
"### 提举国史院 

兼官名",2
"### 权提举国史院 

兼官名",2
"### 监修国史 

兼官名",2
"### 修国史 

史官名",2
"### 同修国史 

史官名",2
"### 国史院编修 

史官名",2
"### 国史院检讨官 

史官名",2
"### 实录院 

修实录机构",1
"### 专切提举监修实录 

兼官名",2
"### 提举修实录 

兼官名",2
"### 提举史馆实录院 

兼官名",2
"### 提举实录院 

兼官名",2
"### 提领实录院

避讳称",2
"### 修实录

兼官名",2
"### 权提举实录院 

兼官",1
"### 实录院修撰 

史官名",2
"### 实录院同修撰 

史官名",2
"### 权实录院同修撰 

史官名",2
"### 实录院检讨官 

史官名",2
"### 国史实录院编修检讨官 

国史院编修官",2
"### 国史日历所 

南宋时修日历机构名",1
"### 提举修日历官 

宋代每修日历",2
"### 日历所检讨官 

史官名",2
